index,IDM_AIC,IDM_BIC,SIDM_AIC,SIDM_BIC
0,62426.362020676446,62461.88691995804,56609.57044426469,56659.305303258916
1,48072.58835456862,48108.11325385021,45265.7293301751,45315.464189169325
2,61301.31080562925,61336.83570491084,48672.37775590888,48722.112614903104
3,59168.189255150464,59203.714154432055,40080.68109572981,40130.415954724034
4,44777.56552014036,44813.09041942195,37382.31316568745,37432.04802468167
5,43694.6032537624,43730.12815304399,48268.99386857458,48318.72872756881
6,60294.54838802932,60330.07328731091,53045.71854409551,53095.453403089734
7,48419.093347809714,48454.618247091305,43991.90073704598,44041.63559604021
8,59464.17804891511,59499.702948196704,61964.441898570534,62014.17675756476
9,61402.95932913011,61438.484228411704,40879.56279375387,40929.29765274809
10,78591.12956938488,78626.65446866647,65370.34901765662,65420.083876650846
11,57680.8239163951,57716.34881567669,52681.12796305405,52730.86282204828
12,46800.30214930317,46835.82704858476,41850.31664514434,41900.051504138566
13,58424.02494950086,58459.54984878245,53138.93465934235,53188.669518336574
14,40259.11622139903,40294.64112068062,35139.115237422084,35188.85009641631
15,51547.72935560916,51583.25425489075,49148.60847127917,49198.3433302734
16,39261.358247300486,39296.88314658208,38387.18032485146,38436.91518384569
17,46395.52508914843,46431.04998843002,47072.39495048714,47122.12980948137
18,42964.3343741487,42999.85927343029,36026.98251946429,36076.71737845852
19,51177.04477035504,51212.56966963663,42013.24444350397,42062.9793024982
20,52717.924330827336,52753.44923010893,46055.692151516945,46105.42701051117
21,77434.16616289226,77469.69106217385,72547.68733784428,72597.42219683851
22,50941.8718887001,50977.39678798169,45424.89754072085,45474.632399715076
